2019-01-29 06:44:08,217 - root - INFO - DEBUG MODE: ON
2019-01-29 06:44:17,705 - telegram.ext.updater - INFO - Received signal 2 (SIGINT), stopping...
2019-01-29 06:45:16,587 - root - INFO - DEBUG MODE: ON
2019-01-29 06:45:24,417 - root - INFO - DEBUG MODE: ON
2019-01-29 06:45:39,001 - root - INFO - DEBUG MODE: ON
2019-01-29 06:46:11,924 - root - INFO - DEBUG MODE: ON
2019-01-29 06:46:12,572 - telegram.ext.updater - INFO - Received signal 2 (SIGINT), stopping...
2019-01-29 06:46:21,954 - root - INFO - DEBUG MODE: ON
2019-01-29 06:46:28,849 - root - INFO - DEBUG MODE: ON
2019-01-29 06:46:30,170 - telegram.ext.updater - INFO - Received signal 2 (SIGINT), stopping...
[2019-01-29 07:55:54,632]telegram.ext.dispatcher - DEBUG - Setting singleton dispatcher as <telegram.ext.dispatcher.Dispatcher object at 0x7f8e48efdac8>
[2019-01-29 07:55:54,633]telegram.ext.updater - DEBUG - dispatcher - started
[2019-01-29 07:55:54,633]telegram.ext.updater - DEBUG - updater - started
[2019-01-29 07:55:54,634]telegram.ext.dispatcher - DEBUG - Dispatcher started
[2019-01-29 07:55:54,634]telegram.ext.updater - DEBUG - Updater thread started (polling)
[2019-01-29 07:55:54,635]telegram.ext.updater - DEBUG - Start network loop retry bootstrap del webhook
[2019-01-29 07:55:55,431]telegram.ext.updater - DEBUG - Bootstrap done
[2019-01-29 07:55:55,431]telegram.ext.updater - DEBUG - Start network loop retry getting Updates
[2019-01-29 07:56:00,432]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:56:06,045]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:56:08,651]telegram.ext.updater - INFO - Received signal 2 (SIGINT), stopping...
[2019-01-29 07:56:08,652]telegram.ext.updater - DEBUG - Stopping Updater and Dispatcher...
[2019-01-29 07:56:08,652]telegram.ext.updater - DEBUG - Requesting Dispatcher to stop...
[2019-01-29 07:56:09,646]telegram.ext.dispatcher - DEBUG - orderly stopping
[2019-01-29 07:56:09,647]telegram.ext.dispatcher - DEBUG - Dispatcher thread stopped
[2019-01-29 07:56:09,649]telegram.ext.updater - DEBUG - dispatcher - ended
[2019-01-29 07:56:09,657]telegram.ext.dispatcher - DEBUG - Waiting for async thread 1/4 to end
[2019-01-29 07:56:09,658]telegram.ext.dispatcher - DEBUG - Closing run_async thread c75d114f-9a2a-497c-a4bd-9c667aa432ce_0/4
[2019-01-29 07:56:09,658]telegram.ext.dispatcher - DEBUG - Closing run_async thread c75d114f-9a2a-497c-a4bd-9c667aa432ce_1/4
[2019-01-29 07:56:09,658]telegram.ext.dispatcher - DEBUG - Closing run_async thread c75d114f-9a2a-497c-a4bd-9c667aa432ce_2/4
[2019-01-29 07:56:09,659]telegram.ext.dispatcher - DEBUG - Closing run_async thread c75d114f-9a2a-497c-a4bd-9c667aa432ce_3/4
[2019-01-29 07:56:09,661]telegram.ext.dispatcher - DEBUG - async thread 1/4 has ended
[2019-01-29 07:56:09,667]telegram.ext.dispatcher - DEBUG - Waiting for async thread 2/4 to end
[2019-01-29 07:56:09,668]telegram.ext.dispatcher - DEBUG - async thread 2/4 has ended
[2019-01-29 07:56:09,670]telegram.ext.dispatcher - DEBUG - Waiting for async thread 3/4 to end
[2019-01-29 07:56:09,671]telegram.ext.dispatcher - DEBUG - async thread 3/4 has ended
[2019-01-29 07:56:09,673]telegram.ext.dispatcher - DEBUG - Waiting for async thread 4/4 to end
[2019-01-29 07:56:09,674]telegram.ext.dispatcher - DEBUG - async thread 4/4 has ended
[2019-01-29 07:56:09,676]telegram.ext.updater - DEBUG - Waiting for dispatcher thread to end
[2019-01-29 07:56:09,677]telegram.ext.updater - DEBUG - dispatcher thread has ended
[2019-01-29 07:56:09,692]telegram.ext.updater - DEBUG - Waiting for updater thread to end
[2019-01-29 07:56:11,637]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:56:11,637]telegram.ext.updater - DEBUG - updater - ended
[2019-01-29 07:56:11,637]telegram.ext.updater - DEBUG - updater thread has ended
[2019-01-29 07:56:52,206]BOT - INFO - DEBUG MODE: ON
[2019-01-29 07:56:52,206]telegram.ext.dispatcher - DEBUG - Setting singleton dispatcher as <telegram.ext.dispatcher.Dispatcher object at 0x7fa3dea6d9b0>
[2019-01-29 07:56:52,208]telegram.ext.updater - DEBUG - dispatcher - started
[2019-01-29 07:56:52,208]telegram.ext.updater - DEBUG - updater - started
[2019-01-29 07:56:52,209]telegram.ext.updater - DEBUG - Updater thread started (polling)
[2019-01-29 07:56:52,209]telegram.ext.updater - DEBUG - Start network loop retry bootstrap del webhook
[2019-01-29 07:56:52,209]telegram.ext.dispatcher - DEBUG - Dispatcher started
[2019-01-29 07:56:53,058]telegram.ext.updater - DEBUG - Bootstrap done
[2019-01-29 07:56:53,060]telegram.ext.updater - DEBUG - Start network loop retry getting Updates
[2019-01-29 07:56:56,379]telegram.ext.updater - INFO - Received signal 2 (SIGINT), stopping...
[2019-01-29 07:56:56,379]telegram.ext.updater - DEBUG - Stopping Updater and Dispatcher...
[2019-01-29 07:56:56,379]telegram.ext.updater - DEBUG - Requesting Dispatcher to stop...
[2019-01-29 07:56:57,214]telegram.ext.dispatcher - DEBUG - orderly stopping
[2019-01-29 07:56:57,215]telegram.ext.dispatcher - DEBUG - Dispatcher thread stopped
[2019-01-29 07:56:57,216]telegram.ext.updater - DEBUG - dispatcher - ended
[2019-01-29 07:56:57,285]telegram.ext.dispatcher - DEBUG - Waiting for async thread 1/4 to end
[2019-01-29 07:56:57,285]telegram.ext.dispatcher - DEBUG - Closing run_async thread 40f66074-dda5-43ff-8104-e2852514a86c_2/4
[2019-01-29 07:56:57,285]telegram.ext.dispatcher - DEBUG - Closing run_async thread 40f66074-dda5-43ff-8104-e2852514a86c_0/4
[2019-01-29 07:56:57,285]telegram.ext.dispatcher - DEBUG - Closing run_async thread 40f66074-dda5-43ff-8104-e2852514a86c_3/4
[2019-01-29 07:56:57,285]telegram.ext.dispatcher - DEBUG - Closing run_async thread 40f66074-dda5-43ff-8104-e2852514a86c_1/4
[2019-01-29 07:56:57,286]telegram.ext.dispatcher - DEBUG - async thread 1/4 has ended
[2019-01-29 07:56:57,287]telegram.ext.dispatcher - DEBUG - Waiting for async thread 2/4 to end
[2019-01-29 07:56:57,287]telegram.ext.dispatcher - DEBUG - async thread 2/4 has ended
[2019-01-29 07:56:57,288]telegram.ext.dispatcher - DEBUG - Waiting for async thread 3/4 to end
[2019-01-29 07:56:57,288]telegram.ext.dispatcher - DEBUG - async thread 3/4 has ended
[2019-01-29 07:56:57,288]telegram.ext.dispatcher - DEBUG - Waiting for async thread 4/4 to end
[2019-01-29 07:56:57,288]telegram.ext.dispatcher - DEBUG - async thread 4/4 has ended
[2019-01-29 07:56:57,289]telegram.ext.updater - DEBUG - Waiting for dispatcher thread to end
[2019-01-29 07:56:57,289]telegram.ext.updater - DEBUG - dispatcher thread has ended
[2019-01-29 07:56:57,289]telegram.ext.updater - DEBUG - Waiting for updater thread to end
[2019-01-29 07:56:58,063]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:56:58,064]telegram.ext.updater - DEBUG - updater - ended
[2019-01-29 07:56:58,064]telegram.ext.updater - DEBUG - updater thread has ended
[2019-01-29 07:59:08,001]BOT - INFO - DEBUG MODE: ON
[2019-01-29 07:59:08,001]telegram.ext.dispatcher - DEBUG - Setting singleton dispatcher as <telegram.ext.dispatcher.Dispatcher object at 0x7f73bae6da20>
[2019-01-29 07:59:08,002]telegram.ext.updater - DEBUG - dispatcher - started
[2019-01-29 07:59:08,002]telegram.ext.updater - DEBUG - updater - started
[2019-01-29 07:59:08,003]telegram.ext.updater - DEBUG - Updater thread started (polling)
[2019-01-29 07:59:08,003]telegram.ext.updater - DEBUG - Start network loop retry bootstrap del webhook
[2019-01-29 07:59:08,004]telegram.ext.dispatcher - DEBUG - Dispatcher started
[2019-01-29 07:59:08,796]telegram.ext.updater - DEBUG - Bootstrap done
[2019-01-29 07:59:08,796]telegram.ext.updater - DEBUG - Start network loop retry getting Updates
[2019-01-29 07:59:13,798]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:59:19,399]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:59:23,862]telegram.ext.dispatcher - DEBUG - Processing Update: {'update_id': 243561086, 'message': {'message_id': 459, 'date': 1548719963, 'chat': {'id': 301671941, 'type': 'private', 'username': 'WhiteFish_Shiromi', 'first_name': '白彌'}, 'text': 'test', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 301671941, 'first_name': '白彌', 'is_bot': False, 'username': 'WhiteFish_Shiromi', 'language_code': 'en'}}}
[2019-01-29 07:59:28,865]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:59:34,471]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:59:40,090]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:59:45,722]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:59:51,357]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:59:56,970]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 07:59:58,129]telegram.ext.updater - INFO - Received signal 2 (SIGINT), stopping...
[2019-01-29 07:59:58,131]telegram.ext.updater - DEBUG - Stopping Updater and Dispatcher...
[2019-01-29 07:59:58,132]telegram.ext.updater - DEBUG - Requesting Dispatcher to stop...
[2019-01-29 07:59:58,885]telegram.ext.dispatcher - DEBUG - orderly stopping
[2019-01-29 07:59:58,887]telegram.ext.dispatcher - DEBUG - Dispatcher thread stopped
[2019-01-29 07:59:58,888]telegram.ext.updater - DEBUG - dispatcher - ended
[2019-01-29 07:59:58,937]telegram.ext.dispatcher - DEBUG - Waiting for async thread 1/4 to end
[2019-01-29 07:59:58,937]telegram.ext.dispatcher - DEBUG - Closing run_async thread 82c5f09c-a73f-449a-b54c-6f73042bba39_0/4
[2019-01-29 07:59:58,937]telegram.ext.dispatcher - DEBUG - Closing run_async thread 82c5f09c-a73f-449a-b54c-6f73042bba39_2/4
[2019-01-29 07:59:58,937]telegram.ext.dispatcher - DEBUG - Closing run_async thread 82c5f09c-a73f-449a-b54c-6f73042bba39_3/4
[2019-01-29 07:59:58,937]telegram.ext.dispatcher - DEBUG - Closing run_async thread 82c5f09c-a73f-449a-b54c-6f73042bba39_1/4
[2019-01-29 07:59:58,939]telegram.ext.dispatcher - DEBUG - async thread 1/4 has ended
[2019-01-29 07:59:58,939]telegram.ext.dispatcher - DEBUG - Waiting for async thread 2/4 to end
[2019-01-29 07:59:58,940]telegram.ext.dispatcher - DEBUG - async thread 2/4 has ended
[2019-01-29 07:59:58,940]telegram.ext.dispatcher - DEBUG - Waiting for async thread 3/4 to end
[2019-01-29 07:59:58,940]telegram.ext.dispatcher - DEBUG - async thread 3/4 has ended
[2019-01-29 07:59:58,940]telegram.ext.dispatcher - DEBUG - Waiting for async thread 4/4 to end
[2019-01-29 07:59:58,940]telegram.ext.dispatcher - DEBUG - async thread 4/4 has ended
[2019-01-29 07:59:58,941]telegram.ext.updater - DEBUG - Waiting for dispatcher thread to end
[2019-01-29 07:59:58,941]telegram.ext.updater - DEBUG - dispatcher thread has ended
[2019-01-29 07:59:58,941]telegram.ext.updater - DEBUG - Waiting for updater thread to end
[2019-01-29 08:00:02,603]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 08:00:02,605]telegram.ext.updater - DEBUG - updater - ended
[2019-01-29 08:00:02,606]telegram.ext.updater - DEBUG - updater thread has ended
[2019-01-29 08:04:30,162]BOT - INFO - DEBUG MODE: ON
[2019-01-29 08:04:30,162]telegram.ext.dispatcher - DEBUG - Setting singleton dispatcher as <telegram.ext.dispatcher.Dispatcher object at 0x7fe2d3b2e9e8>
[2019-01-29 08:04:30,163]telegram.ext.updater - DEBUG - dispatcher - started
[2019-01-29 08:04:30,163]telegram.ext.updater - DEBUG - updater - started
[2019-01-29 08:04:30,164]telegram.ext.updater - DEBUG - Updater thread started (polling)
[2019-01-29 08:04:30,164]telegram.ext.updater - DEBUG - Start network loop retry bootstrap del webhook
[2019-01-29 08:04:30,164]telegram.ext.dispatcher - DEBUG - Dispatcher started
[2019-01-29 08:04:30,998]telegram.ext.updater - DEBUG - Bootstrap done
[2019-01-29 08:04:30,999]telegram.ext.updater - DEBUG - Start network loop retry getting Updates
[2019-01-29 08:04:31,715]telegram.ext.updater - INFO - Received signal 2 (SIGINT), stopping...
[2019-01-29 08:04:31,715]telegram.ext.updater - DEBUG - Stopping Updater and Dispatcher...
[2019-01-29 08:04:31,716]telegram.ext.updater - DEBUG - Requesting Dispatcher to stop...
[2019-01-29 08:04:32,167]telegram.ext.dispatcher - DEBUG - orderly stopping
[2019-01-29 08:04:32,168]telegram.ext.dispatcher - DEBUG - Dispatcher thread stopped
[2019-01-29 08:04:32,170]telegram.ext.updater - DEBUG - dispatcher - ended
[2019-01-29 08:04:32,220]telegram.ext.dispatcher - DEBUG - Waiting for async thread 1/4 to end
[2019-01-29 08:04:32,220]telegram.ext.dispatcher - DEBUG - Closing run_async thread 2796a209-24f9-4c87-be96-8012f326d573_0/4
[2019-01-29 08:04:32,220]telegram.ext.dispatcher - DEBUG - Closing run_async thread 2796a209-24f9-4c87-be96-8012f326d573_1/4
[2019-01-29 08:04:32,220]telegram.ext.dispatcher - DEBUG - Closing run_async thread 2796a209-24f9-4c87-be96-8012f326d573_2/4
[2019-01-29 08:04:32,221]telegram.ext.dispatcher - DEBUG - Closing run_async thread 2796a209-24f9-4c87-be96-8012f326d573_3/4
[2019-01-29 08:04:32,222]telegram.ext.dispatcher - DEBUG - async thread 1/4 has ended
[2019-01-29 08:04:32,224]telegram.ext.dispatcher - DEBUG - Waiting for async thread 2/4 to end
[2019-01-29 08:04:32,225]telegram.ext.dispatcher - DEBUG - async thread 2/4 has ended
[2019-01-29 08:04:32,225]telegram.ext.dispatcher - DEBUG - Waiting for async thread 3/4 to end
[2019-01-29 08:04:32,226]telegram.ext.dispatcher - DEBUG - async thread 3/4 has ended
[2019-01-29 08:04:32,227]telegram.ext.dispatcher - DEBUG - Waiting for async thread 4/4 to end
[2019-01-29 08:04:32,236]telegram.ext.dispatcher - DEBUG - async thread 4/4 has ended
[2019-01-29 08:04:32,237]telegram.ext.updater - DEBUG - Waiting for dispatcher thread to end
[2019-01-29 08:04:32,237]telegram.ext.updater - DEBUG - dispatcher thread has ended
[2019-01-29 08:04:32,237]telegram.ext.updater - DEBUG - Waiting for updater thread to end
[2019-01-29 08:04:36,002]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 08:04:36,004]telegram.ext.updater - DEBUG - updater - ended
[2019-01-29 08:04:36,005]telegram.ext.updater - DEBUG - updater thread has ended
[2019-01-29 08:08:10,460]BOT - INFO - DEBUG MODE: ON
[2019-01-29 08:08:10,460]telegram.ext.dispatcher - DEBUG - Setting singleton dispatcher as <telegram.ext.dispatcher.Dispatcher object at 0x7fe671eae9e8>
[2019-01-29 08:08:10,461]telegram.ext.updater - DEBUG - dispatcher - started
[2019-01-29 08:08:10,461]telegram.ext.updater - DEBUG - updater - started
[2019-01-29 08:08:10,461]telegram.ext.updater - DEBUG - Updater thread started (polling)
[2019-01-29 08:08:10,462]telegram.ext.updater - DEBUG - Start network loop retry bootstrap del webhook
[2019-01-29 08:08:10,463]telegram.ext.dispatcher - DEBUG - Dispatcher started
[2019-01-29 08:08:11,338]telegram.ext.updater - DEBUG - Bootstrap done
[2019-01-29 08:08:11,338]telegram.ext.updater - DEBUG - Start network loop retry getting Updates
[2019-01-29 08:08:16,340]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 08:08:17,777]telegram.ext.updater - INFO - Received signal 2 (SIGINT), stopping...
[2019-01-29 08:08:17,777]telegram.ext.updater - DEBUG - Stopping Updater and Dispatcher...
[2019-01-29 08:08:17,777]telegram.ext.updater - DEBUG - Requesting Dispatcher to stop...
[2019-01-29 08:08:18,468]telegram.ext.dispatcher - DEBUG - orderly stopping
[2019-01-29 08:08:18,469]telegram.ext.dispatcher - DEBUG - Dispatcher thread stopped
[2019-01-29 08:08:18,471]telegram.ext.updater - DEBUG - dispatcher - ended
[2019-01-29 08:08:18,481]telegram.ext.dispatcher - DEBUG - Waiting for async thread 1/4 to end
[2019-01-29 08:08:18,482]telegram.ext.dispatcher - DEBUG - Closing run_async thread ae683027-7075-448c-905e-0821a139c96c_0/4
[2019-01-29 08:08:18,482]telegram.ext.dispatcher - DEBUG - Closing run_async thread ae683027-7075-448c-905e-0821a139c96c_1/4
[2019-01-29 08:08:18,482]telegram.ext.dispatcher - DEBUG - Closing run_async thread ae683027-7075-448c-905e-0821a139c96c_2/4
[2019-01-29 08:08:18,483]telegram.ext.dispatcher - DEBUG - Closing run_async thread ae683027-7075-448c-905e-0821a139c96c_3/4
[2019-01-29 08:08:18,485]telegram.ext.dispatcher - DEBUG - async thread 1/4 has ended
[2019-01-29 08:08:18,491]telegram.ext.dispatcher - DEBUG - Waiting for async thread 2/4 to end
[2019-01-29 08:08:18,493]telegram.ext.dispatcher - DEBUG - async thread 2/4 has ended
[2019-01-29 08:08:18,525]telegram.ext.dispatcher - DEBUG - Waiting for async thread 3/4 to end
[2019-01-29 08:08:18,526]telegram.ext.dispatcher - DEBUG - async thread 3/4 has ended
[2019-01-29 08:08:18,526]telegram.ext.dispatcher - DEBUG - Waiting for async thread 4/4 to end
[2019-01-29 08:08:18,527]telegram.ext.dispatcher - DEBUG - async thread 4/4 has ended
[2019-01-29 08:08:18,527]telegram.ext.updater - DEBUG - Waiting for dispatcher thread to end
[2019-01-29 08:08:18,528]telegram.ext.updater - DEBUG - dispatcher thread has ended
[2019-01-29 08:08:18,529]telegram.ext.updater - DEBUG - Waiting for updater thread to end
[2019-01-29 08:08:21,973]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 08:08:21,975]telegram.ext.updater - DEBUG - updater - ended
[2019-01-29 08:08:21,977]telegram.ext.updater - DEBUG - updater thread has ended
[2019-01-29 08:10:22,943]BOT - INFO - DEBUG MODE: ON
[2019-01-29 08:10:22,943]telegram.ext.dispatcher - DEBUG - Setting singleton dispatcher as <telegram.ext.dispatcher.Dispatcher object at 0x7f8b4e6adba8>
[2019-01-29 08:10:22,944]telegram.ext.updater - DEBUG - dispatcher - started
[2019-01-29 08:10:22,945]telegram.ext.updater - DEBUG - updater - started
[2019-01-29 08:10:22,945]telegram.ext.updater - DEBUG - Updater thread started (polling)
[2019-01-29 08:10:22,946]telegram.ext.updater - DEBUG - Start network loop retry bootstrap del webhook
[2019-01-29 08:10:22,946]telegram.ext.dispatcher - DEBUG - Dispatcher started
[2019-01-29 08:10:22,951]telegram.bot - DEBUG - Entering: delete_webhook
[2019-01-29 08:10:22,951]telegram.vendor.ptb_urllib3.urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api.telegram.org
[2019-01-29 08:10:23,810]telegram.vendor.ptb_urllib3.urllib3.connectionpool - DEBUG - https://api.telegram.org:443 "POST /bot488092227:AAE1lKd5DQrWoetteYmAuO7kNWEvKCxor_g/deleteWebhook HTTP/1.1" 200 68
[2019-01-29 08:10:23,815]telegram.bot - DEBUG - True
[2019-01-29 08:10:23,816]telegram.bot - DEBUG - Exiting: delete_webhook
[2019-01-29 08:10:23,818]telegram.ext.updater - DEBUG - Bootstrap done
[2019-01-29 08:10:23,820]telegram.ext.updater - DEBUG - Start network loop retry getting Updates
[2019-01-29 08:10:23,825]telegram.bot - DEBUG - Entering: get_updates
[2019-01-29 08:10:28,828]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 08:10:28,829]telegram.bot - DEBUG - Entering: get_updates
[2019-01-29 08:10:28,829]telegram.vendor.ptb_urllib3.urllib3.connectionpool - DEBUG - Starting new HTTPS connection (2): api.telegram.org
[2019-01-29 08:10:34,454]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 08:10:34,454]telegram.bot - DEBUG - Entering: get_updates
[2019-01-29 08:10:34,454]telegram.vendor.ptb_urllib3.urllib3.connectionpool - DEBUG - Starting new HTTPS connection (3): api.telegram.org
[2019-01-29 08:10:40,050]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 08:10:40,051]telegram.bot - DEBUG - Entering: get_updates
[2019-01-29 08:10:40,051]telegram.vendor.ptb_urllib3.urllib3.connectionpool - DEBUG - Starting new HTTPS connection (4): api.telegram.org
[2019-01-29 08:10:40,883]telegram.vendor.ptb_urllib3.urllib3.connectionpool - DEBUG - https://api.telegram.org:443 "POST /bot488092227:AAE1lKd5DQrWoetteYmAuO7kNWEvKCxor_g/getUpdates HTTP/1.1" 200 387
[2019-01-29 08:10:40,883]telegram.bot - DEBUG - Getting updates: [243561087]
